-147	-360	-349	-3	-50	924	-20	10	1026	-2240	-840	-2170	
-136	-363	-352	-22	-81	952	-17	31	1029	-4830	2380	280	
-133	-358	-351	8	-61	948	1	23	1031	-1470	3430	2100	
-141	-363	-349	23	-85	948	17	46	1028	-3850	-4620	-4340	
-142	-366	-337	-3	-73	971	-20	34	1056	3640	-2450	-4060	
-139	-370	-340	12	-65	917	4	24	997	-1820	770	-1260	
-156	-367	-349	39	-85	940	19	33	1036	-1750	490	-2800	
-148	-360	-340	31	-89	932	19	41	1016	5110	-6790	-2800	
-154	-366	-351	27	-89	940	15	42	1008	-980	4620	-5460	
-166	-363	-337	-54	-77	924	-47	29	1004	-10780	4690	-5670	
-160	-370	-343	90	-69	995	58	27	1094	3500	-19460	1890	
-177	-363	-340	51	-73	952	36	31	1050	1540	-6020	-16100	
-169	-375	-340	-34	-11	948	-40	-26	1036	-11550	1540	-6090	
-166	-379	-348	94	-69	956	78	37	1032	10150	6300	14140	
-163	-370	-340	59	-81	901	58	37	1004	-210	7630	-2170	
-144	-376	-339	-38	62	788	-37	-103	877	-14770	16660	-9030	
-156	-391	-322	43	74	948	26	-120	1059	-15330	-16520	280	
-141	-420	-319	-38	101	963	-43	-136	1048	-35280	-3010	-210	
-148	-451	-289	-38	160	1057	-47	-207	1151	-26530	-6860	1050	
-156	-460	-279	-3	215	952	0	-250	1033	2940	11550	-2730	
-144	-460	-274	31	207	913	25	-241	1013	4550	-8680	-8470	
-157	-451	-285	-11	242	940	-17	-276	1020	5460	3290	-6930	
-147	-456	-283	-3	222	932	-16	-252	1022	1330	-5740	0	
-151	-450	-283	0	207	928	-11	-245	1000	2030	3710	3360	
-153	-447	-294	4	207	854	-1	-233	933	-1960	9030	-140	
-160	-445	-291	35	183	909	25	-222	1006	-770	1610	2730	
-151	-445	-286	16	187	967	14	-224	1042	-4690	-560	-8680	
-153	-450	-295	0	187	944	-10	-227	1030	10290	-2030	-3150	
-160	-441	-297	23	156	936	25	-194	1018	10570	-4830	420	
-166	-436	-291	23	160	932	12	-191	1019	9100	-6160	4200	
-162	-417	-312	101	113	936	79	-151	1025	5180	-1330	-140	
-172	-420	-303	-11	105	952	-20	-150	1034	3290	5390	-6370	
-162	-405	-312	78	74	897	65	-112	981	7070	6300	-630	
-165	-402	-313	27	43	936	24	-79	1027	4970	-1680	-11340	
-165	-400	-318	4	70	909	-16	-109	1014	3570	2310	-840	
-162	-396	-313	27	31	952	12	-76	1039	-1120	-8610	980	
-166	-402	-315	35	27	952	19	-77	1044	2310	-700	3710	
-163	-406	-318	74	39	932	58	-82	1024	-1260	-1050	-3430	
-87	-456	-288	51	-38	897	-89	23	933	2310	-26740	-5670	
-141	-444	-321	-15	164	893	-31	-198	998	35000	-52920	-16520	
-142	-442	-315	-50	98	983	-26	-129	1016	-2240	-5250	-9590	
-157	-430	-310	16	125	893	18	-159	967	-12390	6370	4900	
-153	-445	-310	-61	74	979	-79	-9	1034	-4130	1050	2030	
-138	-448	-310	-15	117	975	-32	-152	1060	5320	-7070	2240	
-114	-420	-312	-112	86	944	-132	-130	1029	14350	26390	8190	
-130	-426	-325	-245	-132	862	-222	67	954	-33390	-59850	0	
-220	-553	-258	140	538	679	107	-547	790	-126140	-61740	27370	
-192	-652	-126	226	862	761	217	-945	874	-39620	-22260	18270	
-205	-615	-193	199	620	850	163	-673	898	73290	-29330	-42000	
-250	-538	-270	308	277	831	300	-304	826	76370	7420	-32410	
-243	-435	-348	250	0	722	237	-20	815	54880	34510	-11900	
-220	-411	-355	179	51	983	167	-85	1085	420	8260	-7000	
-231	-421	-348	156	47	874	137	-94	962	-33040	-9730	-7770	
-322	-480	-309	464	230	733	450	-267	801	-4340	-93310	-36750	
-357	-438	-322	378	47	889	364	-93	964	14630	14070	-7070	
-354	-435	-327	421	144	928	399	-170	1014	-3080	6510	4480	
-351	-427	-327	378	47	846	373	-93	924	490	0	-1750	
-351	-432	-328	402	94	858	393	-120	928	4830	9030	910	
-349	-423	-325	406	55	819	383	-101	934	5600	-5530	3850	
-340	-420	-343	378	43	901	364	-81	971	-350	3780	3150	
-343	-424	-336	382	59	858	373	-91	923	-4270	-490	1470	
-342	-424	-334	413	43	866	387	-82	972	-420	-5320	2240	
-346	-423	-345	394	55	874	381	-87	938	3570	-980	-700	
-342	-421	-342	410	59	897	389	-93	971	5040	6020	770	
-331	-415	-346	374	51	893	358	-84	981	6650	2800	770	
-331	-412	-351	374	35	850	355	-72	942	280	350	910	
-330	-409	-345	374	51	870	362	-82	950	-3220	210	-350	
-334	-421	-345	378	90	905	358	-122	981	-5810	4270	3150	
-325	-423	-334	382	90	881	357	-120	971	-5670	3500	1330	
-316	-432	-346	347	74	889	333	-113	972	-630	3220	-2240	
-322	-424	-346	363	94	870	349	-127	958	350	1890	1330	
-315	-430	-339	320	39	885	311	-81	959	490	-490	1470	
-312	-427	-339	351	66	862	335	-98	959	3710	490	1330	
-307	-426	-345	367	82	897	344	-115	975	0	350	630	
-315	-424	-346	339	47	870	329	-92	966	2450	-1890	280	
-306	-421	-342	359	74	901	346	-111	991	2380	280	-420	
-316	-414	-337	363	55	858	344	-91	957	-700	-1890	-1610	
-318	-415	-339	363	98	917	343	-130	987	-490	1750	700	
-312	-415	-346	316	47	846	306	-90	945	2660	7280	3360	
-295	-418	-349	312	70	901	302	-109	988	350	7560	10080	
-286	-420	-346	332	55	936	309	-92	1001	-2940	2730	3570	
-274	-423	-352	312	98	944	291	-132	1037	2310	6440	-5810	
-271	-411	-345	242	66	909	226	-107	999	3430	11970	-10500	
-268	-412	-357	226	23	924	212	-67	1006	4200	1820	-5250	
-259	-399	-361	242	4	889	227	-34	986	5320	-980	-3290	
-258	-394	-363	230	12	913	208	-49	987	350	-210	-1260	
-262	-387	-361	218	4	913	196	-48	1012	-840	3500	-4550	
